model,scenario,label,score
Xception,hq,1,0.86015826
Xception,hq,1,0.78620756
Xception,hq,1,0.877631
Xception,hq,1,0.89542913
Xception,hq,1,0.84823644
Xception,hq,1,0.8963511
Xception,hq,1,0.98826563
Xception,hq,1,0.9399234
Xception,hq,1,0.95404404
Xception,hq,1,0.965855
Xception,hq,1,0.978652
Xception,hq,1,0.9630537
Xception,hq,1,0.931217
Xception,hq,1,0.98011565
Xception,hq,1,0.7982228
Xception,hq,1,0.39489916
Xception,hq,1,0.70374364
Xception,hq,1,0.30242863
Xception,hq,1,0.83390105
Xception,hq,1,0.9021561
Xception,hq,1,0.9228098
Xception,hq,1,0.97182953
Xception,hq,1,0.8563632
Xception,hq,1,0.9712708
Xception,hq,1,0.9689464
Xception,hq,1,0.9888844
Xception,hq,1,0.99368525
Xception,hq,1,0.992319
Xception,hq,1,0.99295855
Xception,hq,1,0.9832634
Xception,hq,1,0.9943242
Xception,hq,1,0.99811536
Xception,hq,1,0.99614394
Xception,hq,1,0.9386841
Xception,hq,1,0.95247185
Xception,hq,1,0.7758544
Xception,hq,1,0.62575114
Xception,hq,1,0.9529911
Xception,hq,1,0.7990017
Xception,hq,1,0.85905206
Xception,hq,1,0.9708781
Xception,hq,1,0.88420606
Xception,hq,1,0.9304641
Xception,hq,1,0.96843493
Xception,hq,1,0.97950596
Xception,hq,1,0.9692967
Xception,hq,1,0.9467531
Xception,hq,1,0.87934285
Xception,hq,1,0.99268234
Xception,hq,1,0.94781625
Xception,hq,1,0.7981616
Xception,hq,1,0.24511112
Xception,hq,1,0.78216875
Xception,hq,1,0.3094644
Xception,hq,1,0.89517
Xception,hq,1,0.7905198
Xception,hq,1,0.21681148
Xception,hq,1,0.9842318
Xception,hq,1,0.96263033
Xception,hq,1,0.9684104
Xception,hq,1,0.981466
Xception,hq,1,0.9473692
Xception,hq,1,0.9689535
Xception,hq,1,0.9795587
Xception,hq,1,0.7882488
Xception,hq,1,0.92363364
Xception,hq,1,0.9661197
Xception,hq,1,0.9778015
Xception,hq,1,0.971844
Xception,hq,1,0.9249423
Xception,hq,1,0.9298537
Xception,hq,1,0.9913325
Xception,hq,1,0.9824018
Xception,hq,1,0.77498007
Xception,hq,1,0.98995495
Xception,hq,1,0.98976886
Xception,hq,1,0.9587008
Xception,hq,1,0.9917038
Xception,hq,1,0.95184165
Xception,hq,1,0.94023746
Xception,hq,1,0.8859927
Xception,hq,1,0.9781015
Xception,hq,1,0.946943
Xception,hq,1,0.96944064
Xception,hq,1,0.97776484
Xception,hq,1,0.99018914
Xception,hq,1,0.96075916
Xception,hq,1,0.98589987
Xception,hq,1,0.9834301
Xception,hq,1,0.9771165
Xception,hq,1,0.884542
Xception,hq,1,0.99681157
Xception,hq,1,0.9991673
Xception,hq,1,0.9995409
Xception,hq,1,0.9994692
Xception,hq,1,0.996904
Xception,hq,1,0.99917525
Xception,hq,1,0.9988898
Xception,hq,1,0.9965389
Xception,hq,1,0.9899698
Xception,hq,1,0.9927179
Xception,hq,1,0.9878661
Xception,hq,1,0.99826473
Xception,hq,1,0.9983638
Xception,hq,1,0.99851304
Xception,hq,1,0.9984052
Xception,hq,1,0.99647576
Xception,hq,1,0.9964167
Xception,hq,1,0.9962771
Xception,hq,1,0.9960248
Xception,hq,1,0.9573748
Xception,hq,1,0.9889193
Xception,hq,1,0.9871456
Xception,hq,1,0.91607636
Xception,hq,1,0.96292
Xception,hq,1,0.9870139
Xception,hq,1,0.98326737
Xception,hq,1,0.9981812
Xception,hq,1,0.9979679
Xception,hq,1,0.99834526
Xception,hq,1,0.99883
Xception,hq,1,0.999709
Xception,hq,1,0.9994351
