label,scenario,score
1,hq,0.2983409
1,hq,0.9625199
0,hq,0.7029813
1,hq,0.9283562
0,hq,6.798262e-05
0,hq,0.0004118351
0,hq,0.013758305
0,hq,0.7421557
0,hq,0.00059656904
1,hq,0.31724945
1,hq,0.9220579
0,hq,0.014272833
0,hq,0.00014198844
0,hq,0.00095377886
1,hq,0.92217296
0,hq,0.43785357
1,hq,0.9935445
1,hq,0.9583712
1,hq,0.9814286
1,hq,0.94469
1,hq,0.74603504
1,hq,0.99092114
1,hq,0.78539443
0,hq,0.03240062
1,hq,0.2245787
1,hq,0.04818567
1,hq,0.97907823
0,hq,0.00040286352
0,hq,0.1550849
0,hq,0.25805467
1,hq,0.79517305
0,hq,0.54712296
0,hq,0.005457033
1,hq,0.92979974
1,hq,0.998883
1,hq,0.9987508
0,hq,0.0024636071
0,hq,0.024562772
0,hq,0.0009438913
1,hq,0.9946759
0,hq,0.5766954
1,hq,0.997975
1,hq,0.7697933
0,hq,0.0030210316
0,hq,0.029429238
1,hq,0.82715845
0,hq,0.039342806
0,hq,0.462148
1,hq,0.99896365
1,hq,0.92200875
0,hq,0.0003248881
1,hq,0.99708587
1,hq,0.7132297
0,hq,0.6337127
0,hq,0.0012847774
1,hq,0.9204175
0,hq,0.17312022
0,hq,0.0018960166
0,hq,0.8676465
1,hq,0.9741576
0,hq,0.01779416
0,hq,0.31200376
1,hq,0.72127545
1,hq,0.92678064
1,hq,0.7743401
1,hq,0.9588059
0,hq,0.0018086091
0,hq,0.0008796845
1,hq,0.9959204
0,hq,0.007919143
1,hq,0.9248173
1,hq,0.9418625
1,hq,0.9415335
0,hq,0.2682215
0,hq,0.0017577634
0,hq,0.5981106
0,hq,0.0044226693
0,hq,0.00018708628
0,hq,0.0050563705
0,hq,0.18787317
0,hq,0.0013805156
1,hq,0.92934656
1,hq,0.89163077
1,hq,0.91454643
0,hq,0.71370494
1,hq,0.94159114
1,hq,0.9763066
1,hq,0.91748494
1,hq,0.9320074
1,hq,0.99701494
0,hq,0.0043533053
0,hq,0.70788395
1,hq,0.86406267
1,hq,0.91621435
0,hq,0.2283945
0,hq,0.010965449
1,hq,0.9975534
1,hq,0.99020207
1,hq,0.9985349
0,hq,0.00040594992
1,hq,0.98154974
0,hq,0.05110841
0,hq,0.11918478
0,hq,0.27582812
0,hq,0.02391803
1,hq,0.97651947
1,hq,0.9766467
1,hq,0.9790282
0,hq,0.00014226773
0,hq,0.05744525
0,hq,0.00074986264
1,hq,0.99385816
1,hq,0.9919857
1,hq,0.991248
1,hq,0.993106
0,hq,0.0028911547
0,hq,0.0013270691
1,hq,0.9223348
1,hq,0.9036677
1,hq,0.99562985
1,hq,0.51747566
1,hq,0.8257358
0,hq,0.95621896
1,hq,0.99561477
0,hq,0.001324352
1,hq,0.90892434
1,hq,0.4502818
1,hq,0.5201602
0,hq,0.05981407
1,hq,0.86979175
0,hq,0.1985524
0,hq,0.0010649824
0,hq,0.0038669144
0,hq,0.00046106102
0,hq,0.0015974044
0,hq,0.042599358
0,hq,0.00025836262
1,hq,0.9943281
0,hq,0.48446798
0,hq,0.005534952
1,hq,0.86142683
1,hq,0.9990286
1,hq,0.2844599
1,hq,0.988932
0,hq,0.008680563
0,hq,0.16759044
0,hq,0.117658705
0,hq,0.0008862383
1,hq,0.9979597
0,hq,0.0016585458
