label,scenario,score
1,hq,0.9832984
1,hq,0.790368
0,hq,0.54746246
1,hq,0.7882456
0,hq,0.001541041
0,hq,0.007501285
0,hq,0.70185345
0,hq,0.07972499
0,hq,0.040383216
1,hq,0.9337542
1,hq,0.93915945
0,hq,0.06729552
0,hq,0.004313719
0,hq,0.014132482
1,hq,0.8917978
0,hq,0.6251809
1,hq,0.9577574
1,hq,0.9774998
1,hq,0.24436252
1,hq,0.9977666
1,hq,0.9678716
1,hq,0.97071755
1,hq,0.86333895
0,hq,0.8837882
1,hq,0.93710345
1,hq,0.6361295
1,hq,0.9932225
0,hq,0.024037333
0,hq,0.363347
0,hq,0.12278629
1,hq,0.9910098
0,hq,0.4567432
0,hq,0.0035292893
1,hq,0.9853786
1,hq,0.8250388
1,hq,0.9992398
0,hq,0.04380457
0,hq,0.023597917
0,hq,0.008182475
1,hq,0.99802655
0,hq,0.2425824
1,hq,0.99469227
1,hq,0.9395194
0,hq,0.006838525
0,hq,0.03481969
1,hq,0.9960624
0,hq,0.039291814
0,hq,0.44007334
1,hq,0.99990284
1,hq,0.9520218
0,hq,0.039116982
1,hq,0.9956196
1,hq,0.90846497
0,hq,0.37306875
0,hq,0.004535121
1,hq,0.80444115
0,hq,0.3416594
0,hq,0.008851511
0,hq,0.96823394
1,hq,0.9728647
0,hq,0.06168763
0,hq,0.9253487
1,hq,0.9795647
1,hq,0.80295527
1,hq,0.93394524
1,hq,0.9746757
0,hq,0.0014646505
0,hq,0.03783501
1,hq,0.9963508
0,hq,0.015251343
1,hq,0.8550653
1,hq,0.9838715
1,hq,0.9792321
0,hq,0.056719355
0,hq,0.008946182
0,hq,0.559748
0,hq,0.0045164507
0,hq,0.107788906
0,hq,0.32501957
0,hq,0.13536018
0,hq,0.028775902
1,hq,0.22258566
1,hq,0.8107565
1,hq,0.9867061
0,hq,0.49877492
1,hq,0.9839875
1,hq,0.99900997
1,hq,0.976483
1,hq,0.9366499
1,hq,0.9371074
0,hq,0.005828895
0,hq,0.66374564
1,hq,0.8162575
1,hq,0.9880482
0,hq,0.9443718
0,hq,0.12867996
1,hq,0.9957799
1,hq,0.9875448
1,hq,0.99965143
0,hq,0.017379766
1,hq,0.9806715
0,hq,0.7702454
0,hq,0.7378315
0,hq,0.6887721
0,hq,0.7101115
1,hq,0.97684777
1,hq,0.97660804
1,hq,0.9855341
0,hq,0.0013274843
0,hq,0.0015367849
0,hq,0.036922004
1,hq,0.9985933
1,hq,0.95733255
1,hq,0.99212784
1,hq,0.9960045
0,hq,0.05812661
0,hq,0.0008877009
1,hq,0.93165106
1,hq,0.9302663
1,hq,0.9804628
1,hq,0.8109617
1,hq,0.9708201
0,hq,0.8164861
1,hq,0.9718169
0,hq,0.016146576
1,hq,0.9139689
1,hq,0.8626114
1,hq,0.9728123
0,hq,0.5412385
1,hq,0.84434605
0,hq,0.23716164
0,hq,0.0017812098
0,hq,0.011238636
0,hq,0.10484468
0,hq,0.002264417
0,hq,0.14704242
0,hq,0.00071918825
1,hq,0.98218805
0,hq,0.4399922
0,hq,0.0004698522
1,hq,0.9257594
1,hq,0.9990522
1,hq,0.98531663
1,hq,0.9982003
0,hq,0.000235721
0,hq,0.6654979
0,hq,0.13371155
0,hq,0.0005354523
1,hq,0.9983444
0,hq,0.03100302
1,lq,0.9832984
1,lq,0.790368
0,lq,0.54746246
1,lq,0.7882456
0,lq,0.001541041
0,lq,0.007501285
0,lq,0.70185345
0,lq,0.07972499
0,lq,0.040383216
1,lq,0.9337542
1,lq,0.93915945
0,lq,0.06729552
0,lq,0.004313719
0,lq,0.014132482
1,lq,0.8917978
0,lq,0.6251809
1,lq,0.9577574
1,lq,0.9774998
1,lq,0.24436252
1,lq,0.9977666
1,lq,0.9678716
1,lq,0.97071755
1,lq,0.86333895
0,lq,0.8837882
1,lq,0.93710345
1,lq,0.6361295
1,lq,0.9932225
0,lq,0.024037333
0,lq,0.363347
0,lq,0.12278629
1,lq,0.9910098
0,lq,0.4567432
0,lq,0.0035292893
1,lq,0.9853786
1,lq,0.8250388
1,lq,0.9992398
0,lq,0.04380457
0,lq,0.023597917
0,lq,0.008182475
1,lq,0.99802655
0,lq,0.2425824
1,lq,0.99469227
1,lq,0.9395194
0,lq,0.006838525
0,lq,0.03481969
1,lq,0.9960624
0,lq,0.039291814
0,lq,0.44007334
1,lq,0.99990284
1,lq,0.9520218
0,lq,0.039116982
1,lq,0.9956196
1,lq,0.90846497
0,lq,0.37306875
0,lq,0.004535121
1,lq,0.80444115
0,lq,0.3416594
0,lq,0.008851511
0,lq,0.96823394
1,lq,0.9728647
0,lq,0.06168763
0,lq,0.9253487
1,lq,0.9795647
1,lq,0.80295527
1,lq,0.93394524
1,lq,0.9746757
0,lq,0.0014646505
0,lq,0.03783501
1,lq,0.9963508
0,lq,0.015251343
1,lq,0.8550653
1,lq,0.9838715
1,lq,0.9792321
0,lq,0.056719355
0,lq,0.008946182
0,lq,0.559748
0,lq,0.0045164507
0,lq,0.107788906
0,lq,0.32501957
0,lq,0.13536018
0,lq,0.028775902
1,lq,0.22258566
1,lq,0.8107565
1,lq,0.9867061
0,lq,0.49877492
1,lq,0.9839875
1,lq,0.99900997
1,lq,0.976483
1,lq,0.9366499
1,lq,0.9371074
0,lq,0.005828895
0,lq,0.66374564
1,lq,0.8162575
1,lq,0.9880482
0,lq,0.9443718
0,lq,0.12867996
1,lq,0.9957799
